t,I
0.249697449,1.43341
0.249619644,1.43372
0.249541911,1.43127
0.249464251,1.43494
0.249386663,1.43097
0.249309148,1.4325
0.249231705,1.4325
0.249154334,1.42914
0.249077035,1.43311
0.248999808,1.42914
0.248922653,1.43036
0.24884557,1.43097
0.248768558,1.42731
0.248691617,1.43158
0.248614748,1.42731
0.24853795,1.42883
0.248461223,1.42944
0.248384567,1.4267
0.248307983,1.42975
0.248231469,1.42578
0.248155025,1.42761
0.248078652,1.42761
0.24800235,1.42456
0.247926118,1.42761
0.247849956,1.42426
0.247773865,1.42578
0.247697843,1.42609
0.247621892,1.42273
0.24754601,1.42639
0.247470198,1.42212
0.247394455,1.42456
0.247318782,1.42487
0.247243179,1.42181
0.247167645,1.42426
0.24709218,1.4212
0.247016784,1.42242
0.246941457,1.42212
0.246866199,1.41968
0.246791009,1.42303
0.246715888,1.41876
0.246640836,1.4209
0.246565853,1.4209
0.246490937,1.41754
0.24641609,1.42151
0.246341311,1.41754
0.2462666,1.41937
0.246191957,1.41937
0.246117382,1.41693
0.246042875,1.41998
0.245968435,1.41602
0.245894063,1.41785
0.245819758,1.41785
0.24574552,1.4151
0.24567135,1.41846
0.245597247,1.41388
0.24552321,1.41602
0.245449241,1.41663
0.245375339,1.41357
0.245301503,1.41693
0.245227734,1.41327
0.245154031,1.41418
0.245080395,1.41449
0.245006825,1.41113
0.244933321,1.41571
0.244859884,1.41144
0.244786512,1.41296
0.244713207,1.41296
0.244639967,1.41052
