V_2,I_2,V_3,I_3
0.087890625,6.72913E-08,0.087890625,-3.08868E-06
0.085449219,1.33667E-08,0.085449219,-3.07159E-06
0.083007813,-4.3335E-08,0.083007813,-3.05481E-06
0.080566406,-1.03882E-07,0.080566406,-3.03802E-06
0.078125,-1.67908E-07,0.078125,-3.02155E-06
0.075683594,-2.35687E-07,0.075683594,-3.00568E-06
0.073242188,-3.07861E-07,0.073242188,-2.99011E-06
0.070800781,-3.84033E-07,0.070800781,-2.97424E-06
0.068359375,-4.64172E-07,0.068359375,-2.95868E-06
0.065917969,-5.47791E-07,0.065917969,-2.94281E-06
0.063476563,-6.36292E-07,0.063476563,-2.92725E-06
0.061035156,-7.29675E-07,0.061035156,-2.91168E-06
0.05859375,-8.26111E-07,0.05859375,-2.89642E-06
0.056152344,-9.24072E-07,0.056152344,-2.88086E-06
0.053710938,-1.02722E-06,0.053710938,-2.86682E-06
0.051269531,-1.13342E-06,0.051269531,-2.85217E-06
0.048828125,-1.24237E-06,0.048828125,-2.83722E-06
0.046386719,-1.35101E-06,0.046386719,-2.82379E-06
0.043945313,-1.46362E-06,0.043945313,-2.81067E-06
0.041503906,-1.57715E-06,0.041503906,-2.79816E-06
0.0390625,-1.69006E-06,0.0390625,-2.78534E-06
0.036621094,-1.80267E-06,0.036621094,-2.77252E-06
0.034179688,-1.91254E-06,0.034179688,-2.76062E-06
0.031738281,-2.02332E-06,0.031738281,-2.74933E-06
0.029296875,-2.13165E-06,0.029296875,-2.73743E-06
0.026855469,-2.23541E-06,0.026855469,-2.72583E-06
0.024414063,-2.33978E-06,0.024414063,-2.71454E-06
0.021972656,-2.43866E-06,0.021972656,-2.70294E-06
0.01953125,-2.53418E-06,0.01953125,-2.69257E-06
0.017089844,-2.62421E-06,0.017089844,-2.68188E-06
0.014648438,-2.70966E-06,0.014648438,-2.67181E-06
0.012207031,-2.7887E-06,0.012207031,-2.66205E-06
0.009765625,-2.86407E-06,0.009765625,-2.65228E-06
